2018 07 183 11:14:59.785 SmartHome2 user:unknown [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Located managed bean 'rabbitConnectionFactory': registering with JMX server as MBean [org.springframework.amqp.rabbit.connection:name=rabbitConnectionFactory,type=CachingConnectionFactory]
2018 07 183 11:14:59.806 SmartHome2 user:unknown [main] INFO  o.s.c.s.DefaultLifecycleProcessor - Starting beans in phase 2147483647
2018 07 183 11:14:59.806 SmartHome2 user:unknown [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
2018 07 183 11:14:59.833 SmartHome2 user:unknown [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2018 07 183 11:14:59.853 SmartHome2 user:unknown [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
2018 07 183 11:15:00.236 SmartHome2 user:unknown [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: handleUsingGET_1
2018 07 183 11:15:00.346 SmartHome2 user:unknown [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: getPersonUsingGET_1
2018 07 183 11:15:00.414 SmartHome2 user:unknown [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2018 07 183 11:15:00.466 SmartHome2 user:unknown [main] INFO  o.a.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
2018 07 183 11:15:00.491 SmartHome2 user:unknown [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2018 07 183 11:15:00.497 SmartHome2 user:unknown [main] INFO  se.home.SmarthomeApplication - Started SmarthomeApplication in 11.657 seconds (JVM running for 13.259)
2018 07 183 11:15:48.721 SmartHome2 user:unknown [Thread-6] INFO  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Closing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@7c2b6087: startup date [Mon Jul 02 11:14:50 CEST 2018]; root of context hierarchy
2018 07 183 11:15:48.734 SmartHome2 user:unknown [Thread-6] INFO  o.s.c.s.DefaultLifecycleProcessor - Stopping beans in phase 2147483647
2018 07 183 11:15:48.736 SmartHome2 user:unknown [Thread-6] INFO  o.s.c.s.DefaultLifecycleProcessor - Stopping beans in phase 0
2018 07 183 11:15:48.744 SmartHome2 user:unknown [Thread-6] INFO  o.s.j.e.a.AnnotationMBeanExporter - Unregistering JMX-exposed beans on shutdown
2018 07 183 11:15:48.745 SmartHome2 user:unknown [Thread-6] INFO  o.s.j.e.a.AnnotationMBeanExporter - Unregistering JMX-exposed beans
2018 07 183 11:15:48.747 SmartHome2 user:unknown [Thread-6] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2018 07 183 11:15:48.748 SmartHome2 user:unknown [Thread-6] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2018 07 183 11:15:48.753 SmartHome2 user:unknown [Thread-6] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
